ELM: operator=claude model=claude-sonnet-4-6
  fitness=dense measures=cl_ind archive=8x8 n_actions=120 ticks/action=100
  base_seed=42 n_evals=5 (avg over rolls); sandbox=on (25.0s)
  logging every generation -> results/elm_clind_sonnet_generations.jsonl
  seed plan    fitness=   343.1 cityPop=  336 cell=(0, 0, 0) rolls=[407.1, 307.1, 247.1, 407.1, 347.1] +
it    3 [mutat] + fit=    88.7 pop=   80 m=(0.00,0.00,0.31) cell=(0, 0, 3) | filled=2 best_pop=336 best_fit=343
it  187 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  186 [cross]   fit=     6.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  188 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  189 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  190 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  191 [cross]   fit=     8.6 pop=    0 m=(0.00,0.00,0.17) cell=(0, 0, 1) | filled=5 best_pop=1140 best_fit=1161
it  192 [cross] + fit=   463.5 pop=  453 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  193 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  194 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  195 [mutat]   fit=     1.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  196 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  197 [mutat]   fit=   395.0 pop=  380 m=(0.00,0.00,0.17) cell=(0, 0, 1) | filled=5 best_pop=1140 best_fit=1161
it  198 [cross]   fit=   156.8 pop=  147 m=(0.00,0.00,0.36) cell=(0, 0, 3) | filled=5 best_pop=1140 best_fit=1161
it  199 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  200 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  201 [cross]   fit=     5.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  202 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  203 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  204 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  205 [mutat]   fit=     1.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  206 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  207 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  208 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  209 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  210 [mutat]   fit=     5.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  211 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  212 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  213 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  215 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  214 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  216 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  217 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  219 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  218 [cross]   fit=     2.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  220 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  221 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  222 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  223 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  224 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  225 [mutat]   fit=     4.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  226 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  227 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  230 [cross]   fit=   160.6 pop=  153 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  229 [mutat]   fit=     5.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  228 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  231 [mutat]   fit=    11.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  233 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  232 [mutat]   fit=     3.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  234 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  235 [mutat]   fit=     5.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  236 [mutat]   fit=     7.9 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  237 [cross]   fit=   170.1 pop=  160 m=(0.00,0.00,0.36) cell=(0, 0, 3) | filled=5 best_pop=1140 best_fit=1161
it  238 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  239 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  240 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  242 [cross]   fit=    59.2 pop=   53 m=(0.00,0.00,0.36) cell=(0, 0, 3) | filled=5 best_pop=1140 best_fit=1161
it  241 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  243 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  244 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  245 [mutat]   fit=     4.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  246 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  247 [mutat]   fit=    11.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  248 [mutat]   fit=     8.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  249 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  250 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  251 [cross]   fit=     2.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  252 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  253 [mutat]   fit=     4.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  254 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  255 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  256 [mutat]   fit=     5.8 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  257 [cross]   fit=     8.6 pop=    0 m=(0.00,0.00,0.17) cell=(0, 0, 1) | filled=5 best_pop=1140 best_fit=1161
it  259 [mutat]   fit=     5.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  258 [cross]   fit=     2.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  260 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  263 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  261 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  262 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  264 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  266 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  265 [cross] + fit=   576.8 pop=  567 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  267 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  269 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  270 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  268 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  273 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  271 [cross]   fit=     9.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  272 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  275 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  274 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  276 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  278 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  277 [cross]   fit=     2.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  279 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  280 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  281 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  282 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  283 [mutat]   fit=     3.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  284 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  286 [mutat]   fit=     2.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  285 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  287 [mutat]   fit=     4.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  288 [mutat]   fit=    10.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  289 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  291 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  290 [cross]   fit=     9.7 pop=    0 m=(0.00,0.00,0.14) cell=(0, 0, 1) | filled=5 best_pop=1140 best_fit=1161
it  292 [cross]   fit=     9.7 pop=    0 m=(0.00,0.00,0.29) cell=(0, 0, 2) | filled=5 best_pop=1140 best_fit=1161
it  293 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  294 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  295 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  296 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  297 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  299 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  298 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  300 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  303 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  301 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  302 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  305 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  304 [cross] + fit=   443.2 pop=  427 m=(0.00,0.00,0.25) cell=(0, 0, 2) | filled=5 best_pop=1140 best_fit=1161
it  306 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  307 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  308 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  309 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  310 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  311 [mutat]   fit=     5.5 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  312 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  313 [cross]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  314 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  316 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  315 [mutat]   fit=   207.3 pop=  200 m=(0.00,0.00,0.17) cell=(0, 0, 1) | filled=5 best_pop=1140 best_fit=1161
it  317 [mutat]   fit=     5.7 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  318 [mutat]   fit=     2.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  319 [mutat]   fit=    10.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  321 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  320 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  322 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  323 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  324 [mutat]   fit=     3.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  325 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  326 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  328 [mutat]   fit=     7.9 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  327 [cross]   fit=     0.0 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  330 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  331 [cross]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  329 [cross]   fit=    10.4 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  334 [mutat]   fit=     2.3 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  332 [mutat]   fit=     2.1 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  333 [cross]   fit=     8.6 pop=    0 m=(0.00,0.00,0.17) cell=(0, 0, 1) | filled=5 best_pop=1140 best_fit=1161
it  335 [mutat]   fit=     4.6 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
it  337 [mutat]   fit=     1.2 pop=    0 m=(0.00,0.00,0.00) cell=(0, 0, 0) | filled=5 best_pop=1140 best_fit=1161
